2024-11-09 14:33:55,291 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.176 seconds, Client IP: 127.0.0.1
2024-11-09 14:33:59,436 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 401, Response Time: 0.113 seconds, Client IP: 127.0.0.1
2024-11-09 14:34:24,002 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.118 seconds, Client IP: 127.0.0.1
2024-11-09 14:35:09,254 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 200, Response Time: 1.058 seconds, Client IP: 127.0.0.1
2024-11-09 14:45:49,554 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 200, Response Time: 1.208 seconds, Client IP: 127.0.0.1
2024-11-09 14:47:02,865 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.330 seconds, Client IP: 127.0.0.1
2024-11-09 14:47:24,228 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 500, Response Time: 0.860 seconds, Client IP: 127.0.0.1
2024-11-09 14:52:11,443 - Method: POST, Path: /upload/672e377d3b89d4ff19998aa5, Status Code: 200, Response Time: 1.195 seconds, Client IP: 127.0.0.1
2024-11-09 14:52:51,907 - Method: POST, Path: /upload/672e377d3b89d4ff19998aa5, Status Code: 200, Response Time: 1.030 seconds, Client IP: 127.0.0.1
2024-11-09 14:59:53,293 - Method: GET, Path: /list-files, Status Code: 401, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 15:00:05,599 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.464 seconds, Client IP: 127.0.0.1
2024-11-09 15:00:27,398 - Method: GET, Path: /list-files, Status Code: 200, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 15:00:37,789 - Method: GET, Path: /list-files, Status Code: 401, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 15:00:44,614 - Method: GET, Path: /list-files, Status Code: 200, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 15:04:12,602 - Method: POST, Path: /upload/672e377d3b89d4ff19998aa5, Status Code: 200, Response Time: 1.239 seconds, Client IP: 127.0.0.1
2024-11-09 15:08:42,027 - Method: POST, Path: /upload/672e377d3b89d4ff19998aa5, Status Code: 200, Response Time: 1.200 seconds, Client IP: 127.0.0.1
2024-11-09 15:18:31,788 - Method: POST, Path: /upload/672e377d3b89d4ff19998aa5, Status Code: 401, Response Time: 0.246 seconds, Client IP: 127.0.0.1
2024-11-09 15:34:23,007 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 401, Response Time: 0.000 seconds, Client IP: 127.0.0.1
2024-11-09 15:34:34,493 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.477 seconds, Client IP: 127.0.0.1
2024-11-09 15:35:05,084 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 404, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 15:36:17,852 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 404, Response Time: 0.008 seconds, Client IP: 127.0.0.1
2024-11-09 15:44:26,061 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.008 seconds, Client IP: 127.0.0.1
2024-11-09 15:45:46,193 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check2010, Status Code: 404, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 15:45:50,646 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 15:49:01,412 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.011 seconds, Client IP: 127.0.0.1
2024-11-09 15:49:05,776 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check2010, Status Code: 500, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 15:49:14,034 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 15:59:59,270 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.010 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:00,777 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.004 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:01,866 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.000 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:02,892 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:03,972 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:04,949 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.004 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:05,975 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:06,884 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:07,921 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 16:00:08,818 - Method: GET, Path: /download/672e377d3b89d4ff19998aa5/check201, Status Code: 200, Response Time: 0.004 seconds, Client IP: 127.0.0.1
2024-11-09 16:03:04,905 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.702 seconds, Client IP: 127.0.0.1
2024-11-09 16:04:36,497 - Method: POST, Path: /register, Status Code: 200, Response Time: 1.449 seconds, Client IP: 127.0.0.1
2024-11-09 16:05:30,405 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.143 seconds, Client IP: 127.0.0.1
2024-11-09 16:05:48,453 - Method: GET, Path: /, Status Code: 401, Response Time: 0.109 seconds, Client IP: 127.0.0.1
2024-11-09 16:06:40,993 - Method: GET, Path: /products, Status Code: 405, Response Time: 0.000 seconds, Client IP: 127.0.0.1
2024-11-09 16:07:15,732 - Method: GET, Path: /products, Status Code: 401, Response Time: 0.261 seconds, Client IP: 127.0.0.1
2024-11-09 16:07:33,673 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.829 seconds, Client IP: 127.0.0.1
2024-11-09 16:09:51,987 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 1.104 seconds, Client IP: 127.0.0.1
2024-11-09 16:11:27,749 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 1.040 seconds, Client IP: 127.0.0.1
2024-11-09 16:14:04,806 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 1.047 seconds, Client IP: 127.0.0.1
2024-11-09 16:18:01,337 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.864 seconds, Client IP: 127.0.0.1
2024-11-09 16:19:10,105 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.981 seconds, Client IP: 127.0.0.1
2024-11-09 16:19:31,310 - Method: POST, Path: /add_products, Status Code: 401, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 16:19:36,562 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.849 seconds, Client IP: 127.0.0.1
2024-11-09 16:20:52,786 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.905 seconds, Client IP: 127.0.0.1
2024-11-09 16:22:30,862 - Method: POST, Path: /add_products, Status Code: 422, Response Time: 0.153 seconds, Client IP: 127.0.0.1
2024-11-09 16:22:58,554 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.755 seconds, Client IP: 127.0.0.1
2024-11-09 16:24:02,625 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.933 seconds, Client IP: 127.0.0.1
2024-11-09 16:24:40,577 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.840 seconds, Client IP: 127.0.0.1
2024-11-09 16:25:40,808 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.907 seconds, Client IP: 127.0.0.1
2024-11-09 16:26:14,952 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.845 seconds, Client IP: 127.0.0.1
2024-11-09 16:31:27,866 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.924 seconds, Client IP: 127.0.0.1
2024-11-09 16:31:51,604 - Method: POST, Path: /add_products, Status Code: 200, Response Time: 0.872 seconds, Client IP: 127.0.0.1
2024-11-09 16:32:03,712 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.866 seconds, Client IP: 127.0.0.1
2024-11-09 16:34:10,986 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 200, Response Time: 1.013 seconds, Client IP: 127.0.0.1
2024-11-09 16:34:50,104 - Method: PUT, Path: /update/672f3e3f0be52082ed65653, Status Code: 500, Response Time: 0.124 seconds, Client IP: 127.0.0.1
2024-11-09 16:36:40,475 - Method: PUT, Path: /update/672f3e3f0be52082ed656539, Status Code: 401, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 16:36:52,777 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.212 seconds, Client IP: 127.0.0.1
2024-11-09 16:37:08,133 - Method: PUT, Path: /update/672f3e3f0be52082ed656539, Status Code: 404, Response Time: 0.854 seconds, Client IP: 127.0.0.1
2024-11-09 16:37:25,693 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 200, Response Time: 0.830 seconds, Client IP: 127.0.0.1
2024-11-09 16:37:43,751 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 200, Response Time: 0.822 seconds, Client IP: 127.0.0.1
2024-11-09 16:38:58,121 - Method: PUT, Path: /update/672f3e3f0be52082ed656538, Status Code: 200, Response Time: 1.002 seconds, Client IP: 127.0.0.1
2024-11-09 16:39:40,891 - Method: GET, Path: /products, Status Code: 401, Response Time: 0.124 seconds, Client IP: 127.0.0.1
2024-11-09 16:39:58,546 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.926 seconds, Client IP: 127.0.0.1
2024-11-09 16:42:00,195 - Method: DELETE, Path: /delete/672f411e0be52082ed656548, Status Code: 401, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 16:42:28,268 - Method: DELETE, Path: /delete/672f411e0be52082ed656548, Status Code: 200, Response Time: 1.024 seconds, Client IP: 127.0.0.1
2024-11-09 17:08:21,052 - Method: DELETE, Path: /delete/672f411e0be52082ed656548, Status Code: 401, Response Time: 0.014 seconds, Client IP: 127.0.0.1
2024-11-09 17:08:40,589 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.493 seconds, Client IP: 127.0.0.1
2024-11-09 17:09:36,738 - Method: GET, Path: /one_product/672f411e0be52082ed656548, Status Code: 500, Response Time: 0.899 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:09,094 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.986 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:22,565 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 2.987 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:24,569 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.765 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:26,419 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.802 seconds, Client IP: 127.0.0.1
